livreId;closeness;betweenness;pagerank
10;0.156777;0.000012;0.000505
100;0.156743;0.000012;0.000511
10002;0.203741;0.000000;0.000648
10007;0.205248;0.000015;0.000653
1001;0.160000;0.000001;0.000497
10031;0.220382;0.000101;0.000693
1004;0.197553;0.000229;0.000630
101;0.197833;0.000000;0.000632
1012;0.051826;0.000000;0.000116
10136;0.186415;0.000061;0.000615
10148;0.192725;0.000000;0.000615
10150;0.225071;0.000006;0.000714
102;0.222073;0.000000;0.000699
1021;0.178017;0.000001;0.000575
1023;0.202904;0.000002;0.000679
103;0.205214;0.000000;0.000652
10376;0.211766;0.000009;0.000672
10378;0.215543;0.000048;0.000682
10381;0.209795;0.000000;0.000681
1041;0.171500;0.000048;0.000559
105;0.230920;0.000392;0.000730
1051;0.213325;0.000005;0.000685
10554;0.216374;0.000000;0.000686
1056;0.203204;0.000000;0.000660
1057;0.174342;0.000000;0.000556
10607;0.146738;0.000001;0.000480
10609;0.203141;0.000001;0.000667
10615;0.216703;0.000046;0.000680
10623;0.203020;0.000011;0.000645
10625;0.139057;0.000004;0.000452
10636;0.164508;0.000000;0.000540
10643;0.231613;0.000221;0.000750
10657;0.202564;0.000000;0.000654
10676;0.220170;0.000000;0.000716
10681;0.131221;0.000002;0.000416
107;0.208970;0.000000;0.000683
10712;0.207051;0.000000;0.000680
10715;0.215342;0.000124;0.000674
10732;0.205658;0.000274;0.000649
1074;0.213588;0.000000;0.000689
10741;0.208798;0.000023;0.000655
1079;0.204094;0.000000;0.000666
108;0.227962;0.000000;0.000732
10800;0.122809;0.000019;0.000389
1081;0.221032;0.000003;0.000721
10827;0.208154;0.000025;0.000669
10890;0.219234;0.000004;0.000702
10897;0.186772;0.000000;0.000603
1091;0.215554;0.000001;0.000681
1093;0.182486;0.000164;0.000595
1094;0.175131;0.000000;0.000560
10947;0.223456;0.000001;0.000726
1097;0.176060;0.000000;0.000554
11;0.181538;0.000542;0.000591
110;0.218561;0.000000;0.000717
11000;0.186559;0.000454;0.000585
11027;0.211602;0.001198;0.000675
11030;0.233080;0.000136;0.000741
1112;0.141956;0.000001;0.000466
11136;0.197554;0.000103;0.000623
11224;0.178363;0.000012;0.000569
11231;0.170364;0.000205;0.000553
113;0.175258;0.000000;0.000554
11339;0.210872;0.000025;0.000666
11438;0.189838;0.000076;0.000608
11483;0.231044;0.000121;0.000736
1150;0.205483;0.000035;0.000675
1152;0.188418;0.000001;0.000595
1153;0.221303;0.000020;0.000704
11531;0.202001;0.000000;0.000660
1155;0.220699;0.000000;0.000702
11582;0.195622;0.000210;0.000628
11666;0.184804;0.000001;0.000586
1170;0.224265;0.000009;0.000711
11703;0.229239;0.000033;0.000738
1173;0.209570;0.000004;0.000655
1174;0.209898;0.000001;0.000675
11745;0.233339;0.000359;0.000761
1177;0.218606;0.000002;0.000685
1184;0.199948;0.000148;0.000671
11870;0.211913;0.000051;0.000695
119;0.215745;0.000016;0.000708
11937;0.207371;0.000017;0.000659
11945;0.222624;0.000039;0.000702
11987;0.218115;0.000000;0.000690
12;0.184403;0.000006;0.000600
120;0.215750;0.000010;0.000685
1200;0.168957;0.000000;0.000553
12030;0.157482;0.000015;0.000513
12045;0.197246;0.000000;0.000630
12096;0.218413;0.000098;0.000679
121;0.231915;0.000156;0.000737
1210;0.221596;0.000030;0.000695
1212;0.202246;0.000000;0.000637
12161;0.189063;0.000000;0.000613
122;0.212672;0.000000;0.000692
12219;0.189726;0.000001;0.000595
12242;0.199125;0.000000;0.000627
1227;0.206791;0.000004;0.000656
1228;0.192948;0.000001;0.000616
12297;0.207210;0.000000;0.000652
1232;0.209644;0.000007;0.000655
12345;0.217239;0.000002;0.000683
1237;0.231545;0.000038;0.000742
12383;0.212672;0.000006;0.000695
1240;0.125191;0.000000;0.000396
12410;0.154513;0.000000;0.000504
1250;0.134647;0.000000;0.000426
1251;0.153783;0.000000;0.000486
1252;0.153633;0.000000;0.000486
1254;0.190174;0.000000;0.000605
1257;0.219568;0.000007;0.000721
12587;0.203106;0.000000;0.000674
1259;0.220701;0.000033;0.000728
1260;0.215229;0.000044;0.000716
12655;0.183504;0.000001;0.000583
1268;0.217273;0.000009;0.000708
12732;0.232412;0.000288;0.000740
12753;0.199457;0.000174;0.000631
12758;0.235225;0.000261;0.000762
1279;0.176948;0.000000;0.000571
128;0.239752;0.002773;0.000769
1280;0.199111;0.000000;0.000626
12814;0.207718;0.000223;0.000657
12843;0.203757;0.000007;0.000645
1289;0.196555;0.000086;0.000632
1292;0.183000;0.000000;0.000587
1298;0.224481;0.000024;0.000724
1301;0.170609;0.000000;0.000565
13065;0.211165;0.000004;0.000659
131;0.204713;0.000033;0.000646
132;0.221781;0.013303;0.000686
1320;0.193512;0.000000;0.000628
1322;0.183771;0.000000;0.000593
13240;0.177326;0.000114;0.000583
13415;0.220749;0.000034;0.000702
13417;0.206362;0.000068;0.000656
1342;0.226182;0.000098;0.000725
13437;0.234106;0.000195;0.000755
135;0.173313;0.000001;0.000573
13507;0.087917;0.000000;0.000213
13514;0.216459;0.000000;0.000709
13529;0.203984;0.000000;0.000666
13549;0.201063;0.000026;0.000642
13610;0.196890;0.000000;0.000639
13621;0.204160;0.000007;0.000656
13623;0.216193;0.000611;0.000720
13650;0.184139;0.000000;0.000585
13701;0.209065;0.000054;0.000653
13707;0.212212;0.000006;0.000701
13726;0.202787;0.000020;0.000636
139;0.222991;0.000003;0.000711
13940;0.214450;0.000009;0.000678
13951;0.088346;0.000000;0.000232
1399;0.207097;0.000007;0.000685
14;0.139225;0.000000;0.000453
140;0.219899;0.000051;0.000710
1400;0.222229;0.000009;0.000729
14033;0.210851;0.000025;0.000692
1404;0.195870;0.000004;0.000641
141;0.226178;0.000067;0.000732
14140;0.202798;0.000000;0.000667
14155;0.088656;0.000000;0.000234
14194;0.216563;0.000073;0.000712
14209;0.186069;0.000004;0.000591
14244;0.177471;0.000068;0.000576
14264;0.207387;0.000004;0.000651
14287;0.086418;0.000000;0.000228
1429;0.198493;0.000001;0.000637
143;0.213531;0.000000;0.000692
1430;0.216355;0.000018;0.000681
14314;0.209329;0.000003;0.000679
14328;0.210429;0.000041;0.000658
14417;0.181930;0.000005;0.000586
14471;0.227154;0.000136;0.000724
14472;0.194391;0.000582;0.000636
145;0.201717;0.000020;0.000674
1450;0.195916;0.000000;0.000628
14522;0.172548;0.001390;0.000556
14568;0.142437;0.000000;0.000463
14591;0.213935;0.000044;0.000670
146;0.209461;0.000001;0.000669
14636;0.203708;0.000000;0.000651
14640;0.134888;0.000046;0.000452
147;0.160448;0.000000;0.000500
14726;0.207284;0.000000;0.000658
14818;0.218506;0.000000;0.000698
14880;0.229985;0.000081;0.000728
149;0.212278;0.000021;0.000668
14969;0.180061;0.000000;0.000570
1497;0.217418;0.000261;0.000709
14975;0.150107;0.000257;0.000493
14977;0.198962;0.000349;0.000619
14988;0.211354;0.000050;0.000691
15;0.190053;0.000000;0.000629
15000;0.184725;0.000024;0.000612
15043;0.218426;0.000115;0.000714
15076;0.201921;0.000020;0.000639
1508;0.167046;0.000000;0.000546
1513;0.178122;0.000132;0.000577
1514;0.163867;0.000000;0.000539
15143;0.226359;0.000196;0.000729
1515;0.172322;0.000001;0.000562
1519;0.170926;0.000013;0.000559
15210;0.223045;0.000012;0.000706
1522;0.168922;0.000001;0.000555
1523;0.175510;0.000000;0.000572
1524;0.190569;0.000118;0.000608
15250;0.229128;0.000270;0.000741
1526;0.169538;0.000098;0.000556
15263;0.200030;0.000040;0.000667
15272;0.176475;0.000000;0.000561
153;0.224688;0.000000;0.000731
1531;0.183828;0.000004;0.000593
1532;0.182515;0.000001;0.000588
1533;0.174371;0.000053;0.000570
15353;0.112641;0.000013;0.000373
15381;0.210044;0.000000;0.000668
15396;0.157103;0.000000;0.000514
15399;0.228971;0.000082;0.000723
15474;0.177300;0.000000;0.000583
15475;0.181065;0.000000;0.000594
1549;0.212676;0.000092;0.000663
155;0.227431;0.000014;0.000742
1564;0.213084;0.000004;0.000702
15665;0.140000;0.000003;0.000451
15679;0.208110;0.000014;0.000683
1571;0.151594;0.000831;0.000503
1572;0.209943;0.000018;0.000657
15725;0.127557;0.007389;0.000420
15772;0.174918;0.000001;0.000553
