livreId;scoreGlobal
84;0.865272
1342;0.729173
128;0.713984
345;0.707312
394;0.699974
2641;0.694738
98;0.694171
25344;0.693136
12758;0.690857
132;0.688973
689;0.688529
1661;0.688277
11745;0.686111
1259;0.685881
13437;0.685307
36965;0.685115
41445;0.683757
2527;0.682911
11030;0.682429
786;0.681457
43627;0.681435
829;0.680606
42324;0.680325
675;0.679457
2833;0.678565
205;0.678267
38179;0.678184
768;0.677835
32449;0.677782
503;0.676861
70200;0.676549
16389;0.676316
10643;0.676087
2554;0.675173
20916;0.675105
121;0.674969
39293;0.674536
7277;0.673854
21327;0.672834
37536;0.672734
12732;0.672690
1400;0.672345
105;0.671866
15399;0.671737
76963;0.671475
52621;0.671397
2397;0.671314
2166;0.671171
1237;0.671143
3188;0.671107
834;0.670418
9611;0.669908
202;0.669408
174;0.669155
1260;0.669096
2638;0.668890
15250;0.668694
521;0.667883
55024;0.667870
70;0.667634
2852;0.666881
161;0.666799
61221;0.666780
11483;0.666502
18857;0.666459
8642;0.666258
2701;0.666152
48320;0.666112
175;0.666079
408;0.665954
45631;0.665913
1917;0.665800
20546;0.665777
2400;0.665765
2085;0.665696
158;0.665620
53419;0.665584
2376;0.665367
3178;0.665120
155;0.665037
46559;0.664919
2038;0.664802
52685;0.664543
11703;0.664052
37106;0.663258
537;0.663184
108;0.662829
25789;0.662455
564;0.662114
2148;0.661132
3155;0.661072
45502;0.660680
50316;0.660467
66057;0.660437
1685;0.660326
141;0.660282
14880;0.660048
36238;0.659946
36034;0.659851
33944;0.659760
69700;0.659360
38571;0.659261
44034;0.659251
4276;0.658437
221;0.658426
38049;0.658229
730;0.657454
3070;0.655468
15143;0.655206
86;0.655112
17199;0.654725
17976;0.654390
2946;0.654362
74;0.654155
68291;0.654150
14471;0.653929
1942;0.653792
32;0.653633
33887;0.653476
641;0.653450
583;0.653184
153;0.653064
325;0.652919
2868;0.652582
42671;0.651952
5427;0.651924
43629;0.651473
831;0.651191
59827;0.650810
2813;0.650471
623;0.650251
1849;0.649978
245;0.649891
2944;0.649707
2559;0.649697
2153;0.649473
10947;0.649340
1298;0.649244
20203;0.649170
77;0.648492
3748;0.648292
2147;0.648222
222;0.647996
73848;0.647760
2945;0.647420
34856;0.647416
27475;0.647339
27690;0.647253
3741;0.647158
2160;0.647043
65993;0.647031
10676;0.647004
224;0.646569
23;0.646534
40307;0.646180
35123;0.645151
2811;0.645144
2350;0.645107
940;0.645049
1170;0.645037
16643;0.644960
10150;0.644774
2806;0.644646
33525;0.644627
39955;0.644594
1257;0.644586
4018;0.644495
1497;0.644370
3289;0.643855
57426;0.643695
4085;0.643613
468;0.643361
969;0.643337
110;0.643225
6133;0.643200
33;0.643097
5197;0.642983
40745;0.642889
29546;0.642796
3261;0.642551
244;0.642186
35249;0.642060
2151;0.642006
601;0.641900
1081;0.641780
2150;0.641282
1640;0.640726
74222;0.640674
1837;0.640565
72936;0.640539
47529;0.640497
76993;0.640271
5921;0.639967
139;0.639918
58465;0.639886
17157;0.639823
25305;0.639771
43231;0.639763
32622;0.639695
4206;0.639328
3242;0.639307
53720;0.639301
140;0.639150
541;0.638821
32572;0.638665
6761;0.638386
28240;0.638280
39716;0.638276
223;0.638057
54097;0.638048
58866;0.638028
61168;0.637993
308;0.637975
699;0.637922
62940;0.637913
65238;0.637811
974;0.637561
2591;0.637234
16659;0.637010
42370;0.636727
145;0.636551
15210;0.636224
2149;0.636160
55283;0.635946
46333;0.635937
6867;0.635926
3922;0.635808
16317;0.635573
78;0.635529
8954;0.635519
1608;0.635440
6593;0.635318
13623;0.635259
524;0.635199
3328;0.635187
164;0.635119
5225;0.635002
233;0.634958
2040;0.634830
6408;0.634817
15043;0.634208
3284;0.634202
11945;0.634122
13415;0.634046
7241;0.633986
421;0.633761
204;0.633706
1695;0.633643
67979;0.633380
32474;0.633256
9745;0.633116
24345;0.632940
44747;0.632603
5529;0.632460
203;0.632458
69087;0.632067
45;0.631818
22373;0.631813
6124;0.631767
34206;0.631711
37841;0.631688
61477;0.631634
8486;0.631401
15859;0.631396
28289;0.631393
2814;0.631347
51935;0.631202
62;0.631202
1153;0.631168
16966;0.631123
77056;0.631100
30254;0.630973
54219;0.630705
28054;0.630646
28684;0.630554
33858;0.630507
77004;0.630355
507;0.630243
2077;0.630008
102;0.629917
61262;0.629818
1155;0.629651
3189;0.629648
8299;0.629500
2413;0.629365
700;0.629332
376;0.629232
160;0.629191
42332;0.629169
3296;0.629069
2087;0.628625
1268;0.628602
14194;0.628541
6635;0.628310
39452;0.628253
650;0.627789
24001;0.627433
1727;0.627425
972;0.627174
19690;0.627146
52881;0.627058
2097;0.627057
512;0.626988
120;0.626988
1210;0.626969
10890;0.626889
3891;0.626816
34021;0.626771
17306;0.626491
5946;0.626424
13514;0.626280
34704;0.626123
2788;0.626055
9981;0.625995
5314;0.625995
70114;0.625754
416;0.625301
43098;0.625046
119;0.625020
6688;0.625009
935;0.624996
10031;0.624885
72890;0.624876
598;0.624826
914;0.624709
2130;0.624609
19476;0.624107
7178;0.623827
3268;0.623664
43302;0.623640
289;0.623635
25282;0.623495
51060;0.623373
21;0.623360
25512;0.623115
887;0.622992
16469;0.622897
27200;0.622676
3186;0.622613
77097;0.622607
60;0.622377
14818;0.622318
368;0.622291
773;0.622202
1998;0.622089
8492;0.622076
35664;0.621979
805;0.621871
27805;0.621852
38488;0.621816
65688;0.621651
2786;0.621496
43;0.621209
9800;0.621030
47285;0.621004
6737;0.620885
42078;0.620852
816;0.620324
1597;0.620320
46409;0.620108
77109;0.619888
21394;0.619670
7849;0.619654
67180;0.619245
16769;0.619222
41400;0.619185
10615;0.619080
64;0.619075
31485;0.618996
37539;0.618430
55201;0.618253
24434;0.618135
56463;0.618005
514;0.617933
27827;0.617840
815;0.617529
63203;0.617375
36048;0.617224
32338;0.617152
9151;0.617124
11987;0.617076
1564;0.616881
863;0.616843
47;0.616641
19600;0.616479
3796;0.616441
13707;0.616297
38226;0.616243
2197;0.616195
544;0.616171
34455;0.616165
10554;0.616110
35898;0.616010
16433;0.615998
75288;0.615874
1177;0.615698
43847;0.615617
38046;0.615392
35698;0.615326
41537;0.615272
56590;0.615268
8120;0.615067
51002;0.614885
792;0.614701
1023;0.614664
50176;0.614392
71865;0.614207
2162;0.614055
38511;0.614032
3177;0.613933
45524;0.613886
52190;0.613747
3080;0.613484
1717;0.613196
2048;0.613144
1750;0.612776
12096;0.612525
652;0.612384
11870;0.612328
4078;0.612318
7735;0.612051
12383;0.612012
143;0.611714
16764;0.611676
5658;0.611556
12345;0.611491
54743;0.611397
8117;0.611356
54710;0.611257
2776;0.611247
36029;0.611239
35977;0.611229
56075;0.611170
72824;0.611133
2707;0.610939
122;0.610553
3420;0.610519
64317;0.610321
8106;0.610208
70492;0.610197
1430;0.609963
1091;0.609763
55300;0.609762
1074;0.609731
18569;0.609567
6081;0.609462
1399;0.609271
52521;0.609085
209;0.608998
82;0.608815
54;0.608630
14033;0.608409
14988;0.608392
5777;0.608271
10378;0.608144
77108;0.607997
14591;0.607805
925;0.607609
30755;0.607603
77033;0.607594
6456;0.607416
2398;0.607299
2226;0.607241
2680;0.607169
28497;0.607139
6798;0.607035
1232;0.606943
766;0.606931
1051;0.606827
2428;0.606717
242;0.606575
19924;0.606184
43681;0.605886
26659;0.605717
7326;0.605654
4363;0.605439
1726;0.605230
219;0.605214
600;0.605021
21700;0.605006
